epoch;loss;lr;mean_squared_error;val_loss;val_mean_squared_error
14;0.345055118622;0.001;0.326624054284;0.335673903355;0.335673902502
15;0.343919835672;0.001;0.325584760811;0.333271880995;0.333271880568
16;0.343146094842;0.001;0.324881404769;0.334705883995;0.334705884998
17;0.342192494115;0.001;0.323980907059;0.336581982052;0.336581978053
18;0.34100371766;0.001;0.322910994628;0.334968441218;0.334968440579
0;0.631415364104;0.001;0.599309182467;0.356564766265;0.356564770841
1;0.438958375757;0.001;0.415765343775;0.346060071829;0.346060074763
2;0.395205554598;0.001;0.373951933827;0.342047356918;0.342047357206
3;0.379554107007;0.001;0.35921162793;0.340522587928;0.340522587715
4;0.37271076927;0.001;0.352764204081;0.337566162838;0.337566165771
5;0.368689898356;0.001;0.349027867803;0.332415364062;0.332415362708
6;0.364968620961;0.001;0.34552864645;0.336664262311;0.336664256167
